epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6194,4.40386,20.2824,1.61529,0,0,0,0,3.73599,11.3245,1.26214,0.000649573,0.000649573,0.000649573
2,82.7747,3.53248,9.28645,1.23543,0.00025,0.07407,5e-05,2e-05,2.99128,8.3179,1.10776,0.00128366,0.00128366,0.00128366
3,124.414,3.35158,9.10016,1.17618,0.00099,0.2963,0.00669,0.00194,2.91542,8.74342,1.14028,0.00188475,0.00188475,0.00188475
4,166.072,3.24178,7.52948,1.11229,0.00216,0.25926,0.08125,0.03121,3.34815,6.33285,1.1741,0.0018515,0.0018515,0.0018515
5,206.913,3.29774,6.99858,1.08941,0.28377,0.25926,0.11356,0.02715,3.07698,4.9197,1.1184,0.001802,0.001802,0.001802
6,248.651,3.08116,6.68744,1.08125,0.12935,0.25926,0.07319,0.02092,2.8473,5.39378,1.05998,0.0017525,0.0017525,0.0017525
7,289.803,3.04635,6.01269,1.0462,0.78653,0.18519,0.24442,0.06336,2.76176,4.76908,1.05376,0.001703,0.001703,0.001703
8,331.592,2.92363,5.0515,1.02302,0.57338,0.22222,0.24583,0.0436,3.07242,5.66602,1.1204,0.0016535,0.0016535,0.0016535
9,372.689,2.95817,5.67872,1.03497,0.28786,0.25926,0.15337,0.02709,3.04941,4.75864,1.12531,0.001604,0.001604,0.001604
10,414.784,2.98846,5.67009,1.05024,0.28638,0.37037,0.16768,0.03152,2.86486,4.28551,1.04207,0.0015545,0.0015545,0.0015545
11,456.633,2.9931,4.78222,1.02231,0.46926,0.22222,0.18297,0.07496,2.63615,4.01049,1.03131,0.001505,0.001505,0.001505
12,499.279,2.74854,5.15759,0.99617,0.27352,0.37037,0.16285,0.06708,2.72846,3.87692,1.05943,0.0014555,0.0014555,0.0014555
13,541.963,2.79039,4.37087,1.00386,0.36323,0.33333,0.25485,0.09409,2.69425,3.3865,1.02958,0.001406,0.001406,0.001406
14,587.22,2.78057,4.30272,0.99291,0.27226,0.40741,0.22715,0.10094,2.66066,3.39094,1.02123,0.0013565,0.0013565,0.0013565
15,629.033,2.77139,4.20734,0.99124,0.25704,0.37037,0.19714,0.07952,2.61454,3.54952,1.01197,0.001307,0.001307,0.001307
16,670.21,2.78986,3.91675,0.98108,0.34814,0.33333,0.21202,0.07542,2.47566,3.34679,0.9965,0.0012575,0.0012575,0.0012575
17,712.513,2.76557,3.74397,0.9697,0.27196,0.40136,0.24738,0.07343,2.50181,3.28487,0.99831,0.001208,0.001208,0.001208
18,753.915,2.61847,3.87729,0.96598,0.22404,0.40741,0.23696,0.06739,2.43263,3.31018,0.99122,0.0011585,0.0011585,0.0011585
19,795.207,2.58837,3.53449,0.97609,0.24166,0.37037,0.16861,0.06679,2.35016,3.31082,0.9864,0.001109,0.001109,0.001109
20,836.54,2.56519,3.28751,0.96083,0.25945,0.51852,0.28212,0.09299,2.3756,3.14172,0.99749,0.0010595,0.0010595,0.0010595
21,877.57,2.61759,3.42252,0.97704,0.36591,0.33333,0.32008,0.12057,2.30166,3.05676,0.98982,0.00101,0.00101,0.00101
22,919.479,2.64625,3.45477,0.97867,0.33374,0.33333,0.28971,0.07624,2.79032,3.16456,1.05622,0.0009605,0.0009605,0.0009605
23,962.021,2.43541,3.27039,0.95718,0.36952,0.40741,0.35281,0.11562,2.5177,3.06515,1.01595,0.000911,0.000911,0.000911
24,1004.17,2.58671,3.35445,0.97573,0.9086,0.25926,0.34957,0.12899,2.62367,3.21065,1.02803,0.0008615,0.0008615,0.0008615
25,1044.89,2.46536,3.14455,0.9505,0.2448,0.37037,0.25725,0.05593,2.78212,3.23528,1.05003,0.000812,0.000812,0.000812
26,1109.03,2.57174,3.29588,0.95323,0.27566,0.44444,0.27983,0.05418,2.5905,2.99515,0.99787,0.0007625,0.0007625,0.0007625
27,1499.26,2.52984,3.11754,0.94958,0.4066,0.48148,0.44514,0.13746,2.48681,2.72466,0.98652,0.000713,0.000713,0.000713
28,1694.49,2.5027,3.23682,0.96526,0.40433,0.48148,0.43962,0.17068,2.57659,2.65575,1.00993,0.0006635,0.0006635,0.0006635
29,1742.24,2.53727,3.25794,0.97387,0.32121,0.48148,0.3852,0.14877,2.38402,2.67198,0.97498,0.000614,0.000614,0.000614
30,1775.41,2.4612,2.9843,0.93562,0.37638,0.49199,0.43014,0.11964,2.45337,2.61625,0.9752,0.0005645,0.0005645,0.0005645
31,1809.69,2.30771,3.47649,0.94848,0.37123,0.48148,0.37401,0.10836,2.53923,2.70198,0.98749,0.000515,0.000515,0.000515
32,1853.65,2.42612,3.43376,0.95973,0.35,0.44444,0.38698,0.12791,2.70256,2.67502,1.02117,0.0004655,0.0004655,0.0004655
33,1909.6,2.29798,3.34463,0.94857,0.30849,0.48148,0.38097,0.14975,2.49034,2.67198,0.99688,0.000416,0.000416,0.000416
34,1953.12,2.29179,3.18979,0.93137,0.30247,0.51852,0.36078,0.17742,2.34594,2.71571,0.97782,0.0003665,0.0003665,0.0003665
35,1985.73,2.35847,3.20066,0.95857,0.96482,0.25926,0.39148,0.14757,2.45217,2.67299,0.99148,0.000317,0.000317,0.000317
36,2022.26,2.2638,3.27417,0.93678,0.96758,0.25926,0.39663,0.16721,2.42204,2.71812,0.98327,0.0002675,0.0002675,0.0002675
